ring_index,point_index,x,y
15,4,1810,881
15,5,1870,964
15,6,1904,1055
15,7,1921,1161
15,8,1911,1275
15,9,1890,1365
15,10,1846,1465
15,11,1784,1541
15,12,1718,1598
15,13,1651,1634
15,14,1577,1655
15,15,1507,1661
15,16,1376,1631
15,17,1280,1594
15,18,1162,1534
15,19,1086,1483
15,20,1023,1416
15,21,982,1363
15,22,941,1257
15,23,922,1172
15,24,928,1049
15,25,966,954
15,26,1024,872
15,27,1116,802
15,28,1220,750
15,29,1344,717
15,30,1394,709
16,0,1388,690
16,1,1334,701
16,2,1254,718
16,3,1160,747
16,4,1075,794
16,5,1001,847
16,6,953,918
16,7,925,982
16,8,910,1064
16,9,905,1125
16,10,910,1220
16,11,948,1378
16,12,984,1441
16,13,1035,1506
16,14,1111,1560
16,15,1345,1636
16,16,1406,1651
16,17,1485,1669
16,18,1555,1671
16,19,1626,1657
16,20,1713,1616
16,21,1774,1570
16,22,1832,1511
16,23,1874,1448
16,24,1906,1367
16,25,1923,1288
16,26,1938,1188
16,27,1937,1106
16,28,1912,1006
16,29,1875,928
16,30,1827,869
16,31,1765,805
16,32,1704,763
16,33,1623,725
16,34,1538,705
16,35,1454,694
16,36,1406,690
16,37,1405,690
17,0,1410,637
17,1,1491,655
17,2,1573,670
17,3,1658,694
17,4,1755,750
17,5,1841,831
17,6,1901,907
17,7,1954,1031
17,8,1973,1117
17,9,1975,1229
17,10,1954,1335
17,11,1902,1463
17,12,1870,1525
17,13,1799,1599
17,14,1730,1647
17,15,1673,1678
17,16,1589,1696
17,17,1514,1702
17,18,1417,1692
17,19,1289,1666
17,20,1172,1642
17,21,1068,1610
17,22,991,1545
17,23,905,1450
17,24,855,1361
17,25,811,1251
17,26,792,1156
17,27,785,1048
17,28,812,925
17,29,863,840
17,30,929,781
17,31,1028,733
17,32,1156,684
17,33,1205,667
17,34,1272,653
17,35,1355,645
17,36,1388,636
18,0,1407,580
18,1,1519,616
18,2,1616,643
18,3,1707,683
18,4,1793,741
18,5,1879,825
18,6,1940,912
18,7,1976,1004
18,8,2009,1119
18,9,2017,1263
18,10,1993,1375
18,11,1959,1468
18,12,1888,1580
18,13,1808,1656
18,14,1708,1724
18,15,1593,1759
18,16,1467,1765
18,17,1320,1744
18,18,1187,1721
18,19,1073,1707
18,20,989,1668
18,21,880,1576
18,22,785,1459
18,23,689,1287
18,24,641,1156
18,25,620,1045
18,26,627,947
18,27,656,847
18,28,732,755
18,29,820,711
18,30,997,651
18,31,1137,611
18,32,1227,595
18,33,1319,591
18,34,1391,583
19,0,1415,536
19,1,1548,583
19,2,1681,623
19,3,1799,692
19,4,1884,771
19,5,1941,832
19,6,1996,932
19,7,2044,1061
19,8,2063,1217
19,9,2043,1343
19,10,2000,1475
19,11,1955,1556
19,12,1877,1652
19,13,1791,1724
19,14,1727,1767
19,15,1628,1796
19,16,1532,1816
19,17,1389,1811
19,18,1232,1790
19,19,1092,1778
19,20,987,1752
19,21,879,1686
19,22,753,1554
19,23,640,1395
19,24,573,1253
19,25,512,1112
19,26,496,1007
19,27,512,888
19,28,558,777
19,29,682,679
19,30,797,631
19,31,934,591
19,32,1109,552
19,33,1240,539
19,34,1361,536
20,0,1398,505
20,1,1288,513
20,2,1165,516
20,3,1052,534
20,4,944,558
20,5,825,592
20,6,726,626
20,7,644,674
20,8,576,730
20,9,529,757
20,10,498,817
20,11,457,916
20,12,454,960
20,13,462,1012
20,14,461,1060
20,15,468,1102
20,16,502,1204
20,17,562,1337
20,18,638,1468
20,19,710,1564
20,20,796,1644
20,21,872,1709
20,22,942,1758
20,23,1014,1793
20,24,1129,1812
20,25,1313,1824
20,26,1482,1836
20,27,1559,1829
20,28,1637,1815
20,29,1730,1784
20,30,1821,1723
20,31,1884,1671
20,32,1948,1602
20,33,1989,1544
20,34,2035,1448
20,35,2064,1344
20,36,2083,1251
20,37,2079,1112
20,38,2057,1011
20,39,2012,908
20,40,1962,821
20,41,1881,738
20,42,1787,659
20,43,1714,611
20,44,1596,568
20,45,1545,555
20,46,1417,507
21,0,1418,465
21,1,1458,481
21,2,1522,507
21,3,1611,541
21,4,1718,580
21,5,1796,631
21,6,1860,686
21,7,1924,744
21,8,1968,800
21,9,2014,872
21,10,2051,945
21,11,2074,1005
21,12,2094,1071
21,13,2101,1153
21,14,2102,1216
21,15,2092,1298
21,16,2082,1348
21,17,2048,1464
21,18,2025,1507
21,19,1993,1567
21,20,1956,1620
21,21,1912,1669
21,22,1855,1716
21,23,1813,1749
21,24,1740,1795
21,25,1680,1818
21,26,1597,1840
21,27,1497,1850
21,28,1405,1849
21,29,1324,1841
21,30,1224,1834
21,31,1135,1828
21,32,1066,1824
21,33,1017,1812
21,34,927,1775
21,35,855,1725
21,36,778,1663
21,37,709,1597
21,38,647,1521
21,39,576,1410
21,40,502,1264
21,41,467,1173
21,42,460,1144
21,43,436,1071
21,44,440,1005
21,45,433,925
21,46,443,888
21,47,464,856
21,48,506,764
21,49,525,742
21,50,574,708
21,51,661,642
21,52,747,596
21,53,840,562
21,54,948,534
21,55,1055,508
21,56,1163,486
21,57,1325,471
21,58,1384,461
22,0,1403,429
22,1,1352,436
22,2,1307,446
22,3,1210,451
22,4,1100,471
22,5,983,501
22,6,838,541
22,7,753,574
22,8,671,614
22,9,621,656
22,10,584,688
22,11,540,717
22,12,515,736
22,13,492,765
22,14,475,803
22,15,445,862
22,16,428,891
22,17,422,920
22,18,422,958
22,19,426,1016
22,20,423,1048
22,21,425,1078
22,22,440,1136
22,23,451,1155
22,24,459,1197
22,25,492,1279
22,26,519,1332
22,27,549,1389
22,28,586,1462
22,29,622,1512
22,30,662,1571
22,31,728,1637
22,32,815,1719
22,33,888,1773
22,34,952,1811
22,35,1015,1831
22,36,1087,1842
22,37,1287,1854
22,38,1352,1858
22,39,1397,1862
22,40,1442,1863
22,41,1491,1865
22,42,1595,1855
22,43,1683,1832
22,44,1751,1805
22,45,1847,1747
22,46,1948,1659
22,47,2014,1574
22,48,2054,1498
22,49,2086,1413
22,50,2108,1343
22,51,2123,1240
22,52,2127,1169
22,53,2122,1075
22,54,2100,1009
22,55,2069,926
22,56,2033,862
22,57,2007,812
22,58,1967,763
22,59,1916,705
22,60,1880,668
22,61,1821,620
22,62,1757,577
22,63,1715,554
22,64,1670,536
22,65,1621,514
22,66,1534,483
22,67,1477,460
22,68,1420,431
23,0,1405,397
23,1,1348,408
23,2,1265,422
23,3,1154,434
23,4,1055,457
23,5,967,482
23,6,887,506
23,7,838,524
23,8,783,545
23,9,736,567
23,10,698,589
23,11,650,616
23,12,599,661
23,13,558,694
23,14,525,717
23,15,505,733
23,16,488,751
23,17,472,783
23,18,446,840
23,19,428,876
23,20,418,895
23,21,414,919
23,22,417,990
23,23,418,1024
23,24,415,1049
23,25,418,1080
23,26,424,1104
23,27,435,1143
23,28,443,1165
23,29,457,1224
23,30,508,1331
23,31,549,1422
23,32,576,1471
23,33,623,1540
23,34,694,1629
23,35,748,1684
23,36,817,1749
23,37,913,1809
23,38,981,1837
23,39,1063,1853
23,40,1239,1861
23,41,1333,1866
23,42,1384,1869
23,43,1462,1872
23,44,1539,1871
23,45,1649,1849
23,46,1740,1828
23,47,1802,1797
23,48,1869,1758
23,49,1953,1682
23,50,2021,1597
23,51,2048,1553
23,52,2071,1509
23,53,2105,1419
23,54,2131,1329
23,55,2145,1253
23,56,2151,1187
23,57,2147,1086
23,58,2141,1043
23,59,2113,963
23,60,2077,880
23,61,2039,813
23,62,1977,736
23,63,1953,700
23,64,1885,634
23,65,1814,575
23,66,1764,541
23,67,1690,508
23,68,1632,480
23,69,1537,445
23,70,1460,412
23,71,1426,400
